Family,Feature,Expected,MatlabBuiltinValue,AbsDiff,RelDiffPct,TolerancePct,Status,BuiltinUsed,Note
Shape and morphology,AREA_PIXELS_COUNT,26,26,0,0,5,PASS,regionprops Area,Binary object area in pixels
Shape and morphology,AREA_UM2,104,104,0,0,5,PASS,regionprops Area * pixel area,Uses Nyxus test PIXELSIZEUM=2
Shape and morphology,CENTROID_X,2.61538461538462,2.61538461538462,0,0,5,PASS,regionprops Centroid,Converted from MATLAB 1-based column coordinate to Nyxus x
Shape and morphology,CENTROID_Y,2.84615384615385,2.84615384615385,0,0,5,PASS,regionprops Centroid,Converted from MATLAB 1-based row coordinate to Nyxus y
Shape and morphology,WEIGHTED_CENTROID_X,3.84160305343511,3.84160305343511,0,0,5,PASS,regionprops WeightedCentroid,Nyxus weighted centroid is 1-based in current 2D tests
Shape and morphology,WEIGHTED_CENTROID_Y,4.43893129770992,4.43893129770992,0,0,5,PASS,regionprops WeightedCentroid,Nyxus weighted centroid is 1-based in current 2D tests
Shape and morphology,BBOX_XMIN,0,0,0,0,5,PASS,regionprops BoundingBox,Converted from MATLAB half-pixel bounding box
Shape and morphology,BBOX_YMIN,0,0,0,0,5,PASS,regionprops BoundingBox,Converted from MATLAB half-pixel bounding box
Shape and morphology,BBOX_WIDTH,6,6,0,0,5,PASS,regionprops BoundingBox,MATLAB bounding box width
Shape and morphology,BBOX_HEIGHT,7,7,0,0,5,PASS,regionprops BoundingBox,MATLAB bounding box height
Shape and morphology,EXTENT,0.619047619047619,0.619047619047619,0,0,5,PASS,regionprops Extent,Area divided by bounding-box area
Shape and morphology,ASPECT_RATIO,0.857142857142857,0.857142857142857,0,0,5,PASS,regionprops BoundingBox composition,Width divided by height
Shape and morphology,MAJOR_AXIS_LENGTH,6.96881616898619,6.96881616898619,0,0,5,PASS,regionprops MajorAxisLength,Equivalent ellipse major axis
Shape and morphology,MINOR_AXIS_LENGTH,5.48870991295738,5.48870991295738,0,0,5,PASS,regionprops MinorAxisLength,Equivalent ellipse minor axis
Shape and morphology,ECCENTRICITY,0.616173960820708,0.616173960820708,0,0,5,PASS,regionprops Eccentricity,Equivalent ellipse eccentricity
Shape and morphology,ELONGATION,0.787610087547462,0.787610087547462,0,0,5,PASS,regionprops axis composition,Minor axis divided by major axis
Shape and morphology,ORIENTATION,70.4173944984207,-70.4173944984207,140.834788996841,200,5,MISMATCH,regionprops Orientation,MATLAB uses opposite sign convention from current Nyxus tests
Shape and morphology,EULER_NUMBER,-2,0,2,100,5,MISMATCH,bweuler,MATLAB binary Euler number; may differ by object/background convention
Shape and morphology,CONVEX_HULL_AREA,20,20,0,0,5,PASS,convhull + polyarea,Point-cloud convex hull over ROI pixel centers
Shape and morphology,SOLIDITY,1.3,1.3,0,0,5,PASS,regionprops Area + convhull/polyarea,"Nyxus point-cloud solidity, not regionprops Solidity"
Shape and morphology,REGIONPROPS_CONVEX_AREA,NaN,28,NaN,NaN,NaN,DIAGNOSTIC,regionprops ConvexArea,MATLAB filled-pixel convex area; not the same definition as Nyxus point-cloud hull area
Shape and morphology,REGIONPROPS_SOLIDITY,NaN,0.928571428571429,NaN,NaN,NaN,DIAGNOSTIC,regionprops Solidity,MATLAB Area/ConvexArea; not the same definition as Nyxus point-cloud solidity
Shape and morphology,MASS_DISPLACEMENT,2.01011235208395,NaN,NaN,NaN,5,NO_BUILTIN,,No single MATLAB morphology builtin; derived from Nyxus centroid conventions
Shape and morphology,COMPACTNESS,0.065356393729344,NaN,NaN,NaN,5,NO_BUILTIN,,Nyxus-specific compactness formula
Shape and morphology,DIAMETER_EQUAL_AREA,33.1042281631142,NaN,NaN,NaN,5,NO_BUILTIN,,Nyxus formula differs from MATLAB EquivDiameter convention
Shape and morphology,ROUNDNESS,0.681656295209303,NaN,NaN,NaN,5,NO_BUILTIN,,Nyxus formula depends on its major-axis convention
Shape and morphology,PERIMETER,26.9349412836191,NaN,NaN,NaN,5,NO_BUILTIN,,Nyxus ordered contour convention differs from regionprops Perimeter
Shape and morphology,DIAMETER_EQUAL_PERIMETER,8.57365809435587,NaN,NaN,NaN,5,NO_BUILTIN,,Depends on Nyxus perimeter convention
Shape and morphology,EDGE_MEAN_INTENSITY,41.8333333333333,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB feature over Nyxus ordered contour
Shape and morphology,EDGE_STDDEV_INTENSITY,16.7691944455582,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB feature over Nyxus ordered contour
Shape and morphology,EDGE_MAX_INTENSITY,68,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB feature over Nyxus ordered contour
Shape and morphology,EDGE_MIN_INTENSITY,12,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB feature over Nyxus ordered contour
Shape and morphology,EDGE_INTEGRATED_INTENSITY,753,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB feature over Nyxus ordered contour
Shape and morphology,CIRCULARITY,0.671081973229055,NaN,NaN,NaN,5,NO_BUILTIN,,Depends on Nyxus perimeter convention
Shape and morphology,FRACT_DIM_BOXCOUNT,-0.830074998557687,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB built-in oracle
Shape and morphology,FRACT_DIM_PERIMETER,-1.97227924244155,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB built-in oracle
Shape and morphology,DIAMETER_MIN_ENCLOSING_CIRCLE,6.32475519180298,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB built-in oracle in base/IPT
Shape and morphology,DIAMETER_CIRCUMSCRIBING_CIRCLE,12.3317073399088,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB built-in oracle in base/IPT
Shape and morphology,DIAMETER_INSCRIBING_CIRCLE,0.828486893405308,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB built-in oracle in base/IPT
Shape and morphology,ROI_RADIUS_MEAN,1.07692307692308,NaN,NaN,NaN,5,NO_BUILTIN,,Nyxus-specific contour distance convention
Shape and morphology,ROI_RADIUS_MAX,4,NaN,NaN,NaN,5,NO_BUILTIN,,Nyxus-specific contour distance convention
Shape and morphology,ROI_RADIUS_MEDIAN,1,NaN,NaN,NaN,5,NO_BUILTIN,,Nyxus-specific contour distance convention
Shape and morphology,EXTREMA_P1_X,2,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P1_Y,0,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P2_X,3,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P2_Y,0,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P3_X,5,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P3_Y,2,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P4_X,5,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P4_Y,3,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P5_X,4,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P5_Y,6,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P6_X,3,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P6_Y,6,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P7_X,0,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P7_Y,3,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P8_X,0,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
Shape and morphology,EXTREMA_P8_Y,2,NaN,NaN,NaN,5,NO_BUILTIN,,No direct MATLAB regionprops extrema feature with Nyxus ordering
