Family,Feature,NyxusExpected,ToolValue,AbsDiff,RelDiffPct,TolerancePct,Status,Tool,ImageSource,Note
Remaining 2D Zernike,ZERNIKE2D[0],0.02049738595695693,0.31830988618379069,0.29781250022683375,1452.929172784369,5,MISMATCH,"mahotas 1.4.18 features.zernike_moments(radius=4, degree=9)",tests/test_data.h shape2d_morphology_intensity*shape2d_morphology_mask,"Direct built-in Zernike moments, but normalization/order convention differs from current Nyxus ZERNIKE2D."
Remaining 2D Zernike,ZERNIKE2D[1],0.035831084484416686,2.7938325044822316e-17,0.035831084484416659,99.999999999999929,5,MISMATCH,"mahotas 1.4.18 features.zernike_moments(radius=4, degree=9)",tests/test_data.h shape2d_morphology_intensity*shape2d_morphology_mask,"Direct built-in Zernike moments, but normalization/order convention differs from current Nyxus ZERNIKE2D."
Remaining 2D Zernike,ZERNIKE2D[2],0.073953766599300461,0.42600549806484433,0.35205173146554386,476.04300315499273,5,MISMATCH,"mahotas 1.4.18 features.zernike_moments(radius=4, degree=9)",tests/test_data.h shape2d_morphology_intensity*shape2d_morphology_mask,"Direct built-in Zernike moments, but normalization/order convention differs from current Nyxus ZERNIKE2D."
Remaining 2D Zernike,ZERNIKE2D[3],0.035435050265597692,0.058006118500018633,0.022571068234420941,63.69701204102477,5,MISMATCH,"mahotas 1.4.18 features.zernike_moments(radius=4, degree=9)",tests/test_data.h shape2d_morphology_intensity*shape2d_morphology_mask,"Direct built-in Zernike moments, but normalization/order convention differs from current Nyxus ZERNIKE2D."
Remaining 2D Zernike,ZERNIKE2D[4],0.092323797445497555,0.069760590447228155,0.0225632069982694,24.43921028225617,5,MISMATCH,"mahotas 1.4.18 features.zernike_moments(radius=4, degree=9)",tests/test_data.h shape2d_morphology_intensity*shape2d_morphology_mask,"Direct built-in Zernike moments, but normalization/order convention differs from current Nyxus ZERNIKE2D."
Remaining 2D Zernike,ZERNIKE2D[5],0.011030627605166297,0.067803866601583926,0.056773238996417633,514.68729639487924,5,MISMATCH,"mahotas 1.4.18 features.zernike_moments(radius=4, degree=9)",tests/test_data.h shape2d_morphology_intensity*shape2d_morphology_mask,"Direct built-in Zernike moments, but normalization/order convention differs from current Nyxus ZERNIKE2D."
Remaining 2D Zernike,ZERNIKE2D[6],0.13199834370886107,0.011287409661529527,0.12071093404733155,91.448824777358325,5,MISMATCH,"mahotas 1.4.18 features.zernike_moments(radius=4, degree=9)",tests/test_data.h shape2d_morphology_intensity*shape2d_morphology_mask,"Direct built-in Zernike moments, but normalization/order convention differs from current Nyxus ZERNIKE2D."
Remaining 2D Zernike,ZERNIKE2D[7],0.13453286019693309,0.073988671962356742,0.060544188234576343,45.003271428222078,5,MISMATCH,"mahotas 1.4.18 features.zernike_moments(radius=4, degree=9)",tests/test_data.h shape2d_morphology_intensity*shape2d_morphology_mask,"Direct built-in Zernike moments, but normalization/order convention differs from current Nyxus ZERNIKE2D."
Remaining 2D Zernike,ZERNIKE2D[8],0.00788523106321295,0.031603086889554682,0.023717855826341734,300.78834261424367,5,MISMATCH,"mahotas 1.4.18 features.zernike_moments(radius=4, degree=9)",tests/test_data.h shape2d_morphology_intensity*shape2d_morphology_mask,"Direct built-in Zernike moments, but normalization/order convention differs from current Nyxus ZERNIKE2D."
Remaining 2D Zernike,ZERNIKE2D[9],0.082424064819857396,0.10313384516220923,0.020709780342351838,25.125890585006054,5,MISMATCH,"mahotas 1.4.18 features.zernike_moments(radius=4, degree=9)",tests/test_data.h shape2d_morphology_intensity*shape2d_morphology_mask,"Direct built-in Zernike moments, but normalization/order convention differs from current Nyxus ZERNIKE2D."
